,pack,level_id,question,question_r,solution_r,solution_nl,solution_tool,solution_symbol,initial_symbol
95,Kappa,https://euclidea.fandom.com/wiki/Outer_Tangent,"Description: Construct an outer tangent between two circles.Let A and B be the centers of the circles.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Parallel Tool', 'Compass Tool', 'Intersect Tool']
Solution: ","Description: Construct an outer tangent between two circles.Let A and B be the centers of the circles.
Solution: ","Construct line AB, intersecting the two circles at C and D, with C and D between A and B.
Construct the perpendicular bisector of AB, intersecting AB at E.
Construct the perpendicular bisector of CD, intersecting AB at F.
Construct circle E with radius AE, intersecting bisector F at G.
Construct circle G with radius CG, intersecting circle A at H and circle B at I.
Construct line HI.
Rationale: None","<Line Tool>Construct line AB, intersecting the two circles at C and D, with C and D between A and B.
<Perpendicular Tool>Construct the perpendicular bisector of AB, intersecting AB at E.
<Perpendicular Tool>Construct the perpendicular bisector of CD, intersecting AB at F.
<Circle Tool>Construct circle E with radius AE, intersecting bisector F at G.
<Circle Tool>Construct circle G with radius CG, intersecting circle A at H and circle B at I.
<Line Tool>Construct line HI.","['Line Tool', 'Perpendicular Tool', 'Perpendicular Tool', 'Circle Tool', 'Circle Tool', 'Line Tool']","[['A', 'B'], ['AB', 'C', 'D'], ['E'], ['CD', 'F'], ['G', 'AE'], ['I', 'CG', 'H'], ['HI']]","['A', 'B']"
96,Kappa,https://euclidea.fandom.com/wiki/Inner_Tangent,"Description: Construct an inner tangent between two circles.Let A and B be the centers of the circles.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Parallel Tool', 'Compass Tool', 'Intersect Tool']
Solution: ","Description: Construct an inner tangent between two circles.Let A and B be the centers of the circles.
Solution: ","Construct line AB, intersecting circle A at C and circle B at D, with C on the other side of A from B and D between A and B.
Construct the perpendicular bisector of AB, intersecting AB at E.
Construct the perpendicular bisector of CD, intersecting AB at F.
Construct circle E with radius AE, intersecting bisector F at G.
Construct circle G with radius CG, intersecting circle A at H and circle B at I.
Construct line HI.
Rationale: None","<Line Tool>Construct line AB, intersecting circle A at C and circle B at D, with C on the other side of A from B and D between A and B.
<Perpendicular Tool>Construct the perpendicular bisector of AB, intersecting AB at E.
<Perpendicular Tool>Construct the perpendicular bisector of CD, intersecting AB at F.
<Circle Tool>Construct circle E with radius AE, intersecting bisector F at G.
<Circle Tool>Construct circle G with radius CG, intersecting circle A at H and circle B at I.
<Line Tool>Construct line HI.","['Line Tool', 'Perpendicular Tool', 'Perpendicular Tool', 'Circle Tool', 'Circle Tool', 'Line Tool']","[['A', 'B'], ['AB', 'C', 'D'], ['E'], ['CD', 'F'], ['G', 'AE'], ['I', 'CG', 'H'], ['HI']]","['A', 'B']"
97,Kappa,https://euclidea.fandom.com/wiki/Rotation_90%C2%B0,"Description: Rotate the line segment 90° counterclockwise about the given point.Given the segment AB and O the point.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Parallel Tool', 'Compass Tool', 'Intersect Tool']
Solution: ","Description: Rotate the line segment 90° counterclockwise about the given point.Given the segment AB and O the point.
Solution: ","Construct line AO.
Construct circle O with radius AO.
Construct the line perpendicular to AO through O, intersecting circle O at C.
Construct circle O with radius BO.
Construct the line perpendicular to AB through C, intersecting the latest circle at D.
Point at D.
Rationale: None","<Line Tool>Construct line AO.
<Circle Tool>Construct circle O with radius AO.
<Perpendicular Tool>Construct the line perpendicular to AO through O, intersecting circle O at C.
<Circle Tool>Construct circle O with radius BO.
<Perpendicular Tool>Construct the line perpendicular to AB through C, intersecting the latest circle at D.
<Point Tool>Point at D.","['Line Tool', 'Circle Tool', 'Perpendicular Tool', 'Circle Tool', 'Perpendicular Tool', 'Point Tool']","[['AB', 'O'], ['AO'], [], ['C'], ['BO'], ['D'], []]","['AB', 'O']"
98,Kappa,https://euclidea.fandom.com/wiki/Rotation_60%C2%B0,"Description: Rotate the line segment 60° clockwise about the given point.Given the segment AB and O the point.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Parallel Tool', 'Compass Tool', 'Intersect Tool']
Solution: ","Description: Rotate the line segment 60° clockwise about the given point.Given the segment AB and O the point.
Solution: ","Construct circle A with radius AO.
Construct circle B with radius BO, intersecting circle A at C.
Construct circle O with radius AO, intersecting circle A at D, with D being clockwise around O from A.
Construct line CD, intersecting circle B at E.
Point at E.
Rationale: None","<Circle Tool>Construct circle A with radius AO.
<Circle Tool>Construct circle B with radius BO, intersecting circle A at C.
<Circle Tool>Construct circle O with radius AO, intersecting circle A at D, with D being clockwise around O from A.
<Line Tool>Construct line CD, intersecting circle B at E.
<Point Tool>Point at E.","['Circle Tool', 'Circle Tool', 'Circle Tool', 'Line Tool', 'Point Tool']","[['AB', 'O'], ['AO', 'A'], ['B', 'C', 'BO'], ['D'], ['CD', 'E'], []]","['AB', 'O']"
99,Kappa,https://euclidea.fandom.com/wiki/Segment_Trisection,"Description: Construct two points that divide the segment into 3 equal parts.Given the segment AB.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Parallel Tool', 'Compass Tool', 'Intersect Tool']
Solution: ","Description: Construct two points that divide the segment into 3 equal parts.Given the segment AB.
Solution: ","Construct circle A with radius AB.
Construct the perpendicular bisector of AB, intersecting AB at C and circle A at D.
Construct the perpendicular bisector of AD, intersecting CD at E.
Construct the line perpendicular to BE through E, intersecting AB at F.
Construct circle C with radius CF, intersecting AB at G.
Point at G.
Rationale: None","<Circle Tool>Construct circle A with radius AB.
<Perpendicular Tool>Construct the perpendicular bisector of AB, intersecting AB at C and circle A at D.
<Perpendicular Tool>Construct the perpendicular bisector of AD, intersecting CD at E.
<Perpendicular Tool>Construct the line perpendicular to BE through E, intersecting AB at F.
<Circle Tool>Construct circle C with radius CF, intersecting AB at G.
<Point Tool>Point at G.","['Circle Tool', 'Perpendicular Tool', 'Perpendicular Tool', 'Perpendicular Tool', 'Circle Tool', 'Point Tool']","[['AB'], ['A'], ['C', 'D'], ['CD', 'E', 'AD'], ['BE', 'F'], ['G', 'CF'], []]",['AB']
100,Kappa,https://euclidea.fandom.com/wiki/Segment_Trisection*,"Description: Construct points that divide the segment into three equal parts using only a straightedge. To help you, a line parallel to the segment is given.Given the segment AB.
Tool List: ['Point Tool', 'Line Tool', 'Intersect Tool']
Solution: ","Description: Construct points that divide the segment into three equal parts using only a straightedge. To help you, a line parallel to the segment is given.Given the segment AB.
Solution: ","Construct a line connecting A with an arbitrary point C on the line.
Construct a line connecting B with another arbitrary point D on the line that intersects AC at E.
Construct line AD.
Construct line BC, intersecting AD at F.
Construct line EF, intersecting CD at G.
Construct line AG, intersecting BD at H.
Construct line FH, intersecting AB at I and CD at J.
Construct line EJ, intersecting AB at K.
Point at I.
Point at K.
Rationale: None","<Line Tool>Construct a line connecting A with an arbitrary point C on the line.
<Line Tool>Construct a line connecting B with another arbitrary point D on the line that intersects AC at E.
<Line Tool>Construct line AD.
<Line Tool>Construct line BC, intersecting AD at F.
<Line Tool>Construct line EF, intersecting CD at G.
<Line Tool>Construct line AG, intersecting BD at H.
<Line Tool>Construct line FH, intersecting AB at I and CD at J.
<Line Tool>Construct line EJ, intersecting AB at K.
<Point Tool>Point at I.
<Point Tool>Point at K.","['Line Tool', 'Line Tool', 'Line Tool', 'Line Tool', 'Line Tool', 'Line Tool', 'Line Tool', 'Line Tool', 'Point Tool', 'Point Tool']","[['AB'], ['C', 'A'], ['B', 'E', 'AC', 'D'], ['AD'], ['BC', 'F'], ['CD', 'G', 'EF'], ['AG', 'H', 'BD'], ['I', 'FH', 'J'], ['EJ', 'K'], [], []]",['AB']
101,Kappa,https://euclidea.fandom.com/wiki/Chord_Trisection,"Description: Construct a chord of the larger circle through the given point that is divided into three equal segments by the smaller concentric circle.Given the center A and point on the larger circle B.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Parallel Tool', 'Compass Tool', 'Intersect Tool']
Solution: ","Description: Construct a chord of the larger circle through the given point that is divided into three equal segments by the smaller concentric circle.Given the center A and point on the larger circle B.
Solution: ","Construct line AB, intersecting the smaller circle at C and D and the larger circle at E.
Construct circle E with radius CD, intersecting the smaller circle at F.
Construct line BF.
Rationale: None","<Line Tool>Construct line AB, intersecting the smaller circle at C and D and the larger circle at E.
<Circle Tool>Construct circle E with radius CD, intersecting the smaller circle at F.
<Line Tool>Construct line BF.","['Line Tool', 'Circle Tool', 'Line Tool']","[['A', 'B'], ['AB', 'E', 'C', 'D'], ['CD', 'F'], ['BF']]","['A', 'B']"
102,Kappa,https://euclidea.fandom.com/wiki/Three_Circles_-_1,"Description: Construct three circles with the given centers that are externally tangent each other.Given the points A, B, and C.
Tool List: ['Line Tool']
Solution: ","Description: Construct three circles with the given centers that are externally tangent each other.Given the points A, B, and C.
Solution: ","Construct line AB.
Rationale: None",<Line Tool>Construct line AB.,['Line Tool'],"[['A', 'B', 'C'], ['AB']]","['A', 'B', 'C']"
103,Kappa,https://euclidea.fandom.com/wiki/Secant_Bisection,"Description: Construct a secant through the given point that is divided into two equal segments by the circle.Given the point A and centre B.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Parallel Tool', 'Compass Tool', 'Intersect Tool']
Solution: ","Description: Construct a secant through the given point that is divided into two equal segments by the circle.Given the point A and centre B.
Solution: ","Construct the line AB intersecting the circle at C and D.
Construct the circle with centre B and radius AB, intersecting line AB at E.
Construct the circle with centre E and radius CD, intersecting circle B at F.
Construct the line AF.
Rationale: None","<Line Tool>Construct the line AB intersecting the circle at C and D.
<Circle Tool>Construct the circle with centre B and radius AB, intersecting line AB at E.
<Circle Tool>Construct the circle with centre E and radius CD, intersecting circle B at F.
<Line Tool>Construct the line AF.","['Line Tool', 'Circle Tool', 'Circle Tool', 'Line Tool']","[['A', 'B'], ['AB', 'C', 'D'], ['E'], ['CD', 'F'], ['AF']]","['A', 'B']"
104,Kappa,https://euclidea.fandom.com/wiki/Three_Circles_-_2,"Description: Construct three circles tangent to each other at the given points.Given the points A, B, and C.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Parallel Tool', 'Compass Tool', 'Intersect Tool']
Solution: ","Description: Construct three circles tangent to each other at the given points.Given the points A, B, and C.
Solution: ","Construct the perpendicular bisector of AB.
Construct the perpendicular bisector of AC, intersecting the previous bisector at D.
Construct the line AD.
Construct the perpendicular to AD through A, intersecting the bisector of AB at E and the bisector of AC at F.
Construct the circle with centre E and radius AE.
Construct the circle with centre F and radius AF.
Construct the line BE.
Construct the line CF, intersecting BE at G.
Construct the circle with centre G and radius BG.
Rationale: None","<Perpendicular Tool>Construct the perpendicular bisector of AB.
<Perpendicular Tool>Construct the perpendicular bisector of AC, intersecting the previous bisector at D.
<Line Tool>Construct the line AD.
<Perpendicular Tool>Construct the perpendicular to AD through A, intersecting the bisector of AB at E and the bisector of AC at F.
<Circle Tool>Construct the circle with centre E and radius AE.
<Circle Tool>Construct the circle with centre F and radius AF.
<Line Tool>Construct the line BE.
<Line Tool>Construct the line CF, intersecting BE at G.
<Circle Tool>Construct the circle with centre G and radius BG.","['Perpendicular Tool', 'Perpendicular Tool', 'Line Tool', 'Perpendicular Tool', 'Circle Tool', 'Circle Tool', 'Line Tool', 'Line Tool', 'Circle Tool']","[['A', 'B', 'C'], ['AB'], ['AC', 'D'], ['AD'], ['E', 'F'], ['AE'], ['AF'], ['BE'], ['G', 'CF'], ['BG']]","['A', 'B', 'C']"
105,Kappa,https://euclidea.fandom.com/wiki/Center_of_Rotation,"Description: Construct the center of rotation that transforms one of the given equal segments to the other one.Given one line AB and the other CD.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Parallel Tool', 'Compass Tool', 'Intersect Tool']
Solution: ","Description: Construct the center of rotation that transforms one of the given equal segments to the other one.Given one line AB and the other CD.
Solution: ","Construct the perpendicular bisector of AC.
Construct the perpendicular bisector of BD, intersecting the other bisector at E.
Point at E
Rationale: None","<Perpendicular Tool>Construct the perpendicular bisector of AC.
<Perpendicular Tool>Construct the perpendicular bisector of BD, intersecting the other bisector at E.
<Point Tool>Point at E","['Perpendicular Tool', 'Perpendicular Tool', 'Point Tool']","[['AB', 'CD'], ['AC'], ['E', 'BD'], []]","['AB', 'CD']"
106,Lambda,https://euclidea.fandom.com/wiki/Fourth_Proportional,"Description: Construct a point D on the ray OC such that the segment OD is the fourth proportional to the given segments.Given points O, A, B, and C.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Parallel Tool', 'Compass Tool', 'Intersect Tool']
Solution: ","Description: Construct a point D on the ray OC such that the segment OD is the fourth proportional to the given segments.Given points O, A, B, and C.
Solution: ","Construct line AC.
Construct a line parallel to AC passing through B, intersecting ray OC at point D.
Mark point D.
Rationale: The proportionality of line segments along lines originating from a single point passing through a pair of parallel lines is constant. 
","<Line Tool>Construct line AC.
<Line Tool>Construct a line parallel to AC passing through B, intersecting ray OC at point D.
<Point Tool>Mark point D.","['Line Tool', 'Line Tool', 'Point Tool']","[['D', 'OC', 'OD', 'O', 'A', 'B', 'C'], ['AC'], [], []]","['D', 'OC', 'OD', 'O', 'A', 'B', 'C']"
107,Lambda,https://euclidea.fandom.com/wiki/Geometric_Mean_of_Segments,"Description: Construct a point on the given ray to get a segment with length equal to the geometric mean of two adjacent segments.Given line segment AB and ray O, where ray O extends from point O and |AO| = a and |BO| = b.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Parallel Tool', 'Compass Tool', 'Intersect Tool']
Solution: ","Description: Construct a point on the given ray to get a segment with length equal to the geometric mean of two adjacent segments.Given line segment AB and ray O, where ray O extends from point O and |AO| = a and |BO| = b.
Solution: ","Construct a circle with center O and radius |OA|, intersecting segment AB at C.
Construct a circle with center C and radius |CO|, intersecting circle O at D and E.
Construct line DE.
Construct a circle with center B and radius |BO|, intersecting line DE at F.
Construct a circle with center O and radius |OF|, intersecting ray O at G.
Mark the point G.
Rationale: Let's draw line OD for clarity (we don't need it in solution, only for explanation) intersecting circle O in points D and E.
","<Circle Tool>Construct a circle with center O and radius |OA|, intersecting segment AB at C.
<Circle Tool>Construct a circle with center C and radius |CO|, intersecting circle O at D and E.
<Line Tool>Construct line DE.
<Circle Tool>Construct a circle with center B and radius |BO|, intersecting line DE at F.
<Circle Tool>Construct a circle with center O and radius |OF|, intersecting ray O at G.
<Point Tool>Mark the point G.","['Circle Tool', 'Circle Tool', 'Line Tool', 'Circle Tool', 'Circle Tool', 'Point Tool']","[['AB', 'O', 'O', 'O', 'AO', 'BO'], ['C', 'OA'], ['CO', 'E', 'D'], ['DE'], ['B', 'F'], ['G', 'OF'], []]","['AB', 'O', 'O', 'O', 'AO', 'BO']"
108,Lambda,https://euclidea.fandom.com/wiki/Golden_Section,"Description: Construct a point that divides the segment in the ""golden section"".Given line segment with points A and B.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Parallel Tool', 'Compass Tool', 'Intersect Tool']
Solution: ","Description: Construct a point that divides the segment in the ""golden section"".Given line segment with points A and B.
Solution: ","Construct a circle with center A and radius AB.
Construct the perpendicular bisector of AB, marking intersection with AB as point C, and marking intersection with circle A as point D.
Construct a circle with center C and radius AB, marking intersection with circle A at E. E should be on the opposite side of AB from D, or else the solution will not work.
Construct line DE, intersecting with AB at point F.
Mark the point F.
Rationale: None","<Circle Tool>Construct a circle with center A and radius AB.
<Perpendicular Tool>Construct the perpendicular bisector of AB, marking intersection with AB as point C, and marking intersection with circle A as point D.
<Circle Tool>Construct a circle with center C and radius AB, marking intersection with circle A at E. E should be on the opposite side of AB from D, or else the solution will not work.
<Line Tool>Construct line DE, intersecting with AB at point F.
<Point Tool>Mark the point F.","['Circle Tool', 'Perpendicular Tool', 'Circle Tool', 'Line Tool', 'Point Tool']","[['A', 'B'], ['AB'], ['C', 'D'], ['E'], ['DE', 'F'], []]","['A', 'B']"
